id;documento
1;Esse problema ocorreu apenas com velocidades superiores a 10 passos.
2;Por isso tive que aprender tudo de novo fui em busca de tutorias no YouTube, sites de tutorial escrito como scratch Brasil e outros, sobre o livro não parei pra ler.
3;O que você teve de aprender para ajudar a resolver o problema (conteúdos, ferramentas, etc.)?R = Tive que aprender a como fazer as operações com as variáveis e como fazer a media de forma corretaO que a resolução do problema tem a ver com os conteúdos dos Capítulo 2 e 3 do livro de Forberlloni?R = O capitulo 2 do livro fala sobre as variáveis, uma coisa que nesse projeto usamos bastante, e dos operadores aritméticos e lógicos.
4;- Colaborei apenas na construção do texto e dos personagens.
5;foi tranquilo, no inicio a gente tava meio perdido, mas estudamos e conseguimos concluir tudo.
6;Particularizante lamento pois não tive como ter tanto aproveitamento, pois estou sem pc, e isso dificulta em relação a prática em casa.
7;"Olá, me chamo Ruan Sales, aluno de IPI, turno da noite, cadastrado no grupo Quarteto Fantástico; esse segundo projeto, foi bem mais complicado que o primeiro, em virtude de eu não ter um bom raciocínio lógico matemático, porém estou tentando melhorar aos poucos e vejo que estou conseguindo."
8;Neste projeto, pensei que seria mais simples, porém, tive muitas complicações, além das mesmas anteriormente comentadas, desta vez o bloco 'while' simplificou alguns comandos, que no meu ver, teria que usar o  'sempre' e o 'se', sendo assim mais simples.
9;OBS: Jaildes colocou meu nome artístico  no relatório.
10;Eu encontrei dificuldade na plataforma Scratch pois eu só conhecia visualG até então foi a dificuldade foi de adaptação.
11;fiquei satisfeita com o meu trabalho e com o trabalho da minha equipe.
12;Já temos uma base da história e do diálogo que iremos apresentar,mas devemos melhorar o assunto abordado,pensamos em uma comunicação para nossos personagens,mas é algo que precisamos aperfeiçoar um pouco mais,não está 100%.
13;Pensamos em algo simple porém, tivemos quer uasr outro meio para a resolução.
14;Não fiquei totalmente satisfeita, Sim.
15; A maior dificuldade é tempo juntos para resolver o problema, mas conseguimos contornar essa situação.
16;5 - Sim.
17;"	'  No início tivemos muitas dificuldades na questão de programação já que nenhum de nós havíamos trabalhado nesta área, porém devido a várias tentativas conseguimos desenvolver nosso projeto."
18;A questão de como encaixar e dar certo a média ponderada.
19;Quais as dificuldades que você e seus colegas estão encontrando para resolver o problema?calculo da media ponderada.
20;ficamos satisfeito por conseguir desenvolver todo o projeto que foi proposto no exercício.
21;O livro explica como manipula os algoritmos.
22;Algo poderia melhorar?
23;Até que foi finalizado com os objetivos alcançados.
24;fiquei satisfeito com toda a resolução, poderia ter tido mais interação com o grupo em si.
25;E também obtive bons conhecimentos a parti dos meus companheiros de grupo!
26;" Meu grupo não tinha noção nenhuma sobre o Scratch, e por isso recorremos a fontes de pesquisa como a internet; sobretudo, vídeo aulas sobre como usar todos os comandos corretamente."
27;Nosso projeto estava bem encaminhado até então,nós encaminhamos nos primeiros dias do projeto ,dentro de sala, o código para o jogo funcionar em função de múltiplos jogadores.
28;"	20/11/2018 : Sentei junto ao grupo e dei a sugestão de abordamos o tema das pessoas com deficiência, Logo após,  comecei a fazer o rascunho do relatório enquanto os outros membros do grupo fazia um pequeno rascunho de como seria o jogo ."
29;Nos utilizamos os conhecimentos obtidos nos projetos anteriores além de pesquisar outros jogos para servirem de exemplos.
30;O livro se relaciona com a parte de variáveis, operadores aritméticos e condicionais simples.
31;Foi muito dificil pra mim esse projeto relacionando a esse  'novo bloco', confundi muito as coisas, talvez o que me complicou foi a forma que criamos do jogo, mas com a ajuda do monitor e de alguns alunos que tiveram mais ''facilidades'', consegui ''compreender'' e dar continuidade no projeto.
32;Acho q o resultado vai ser bem agradável :v ~~*espero né kkkkkkk'
33;A partir do dia 09 de dezembro o desenvolvedor começou a programar o jogo e passou para os demais integrantes do grupo q foram dando mais ideias e moldando o jogo.
34;Quais as dificuldades que você e seus colegas estão encontrando para resolver o problema?A maior dificuldade esta sendo a comunicação pelo choque de horários.
35;Pesquisamos bastante no google, youtube e pedimos algumas dicas para amigos de grupos diferente lara esclarecer algumas dúvidas.
36;"Que precisamos usar a logica no nosso dia a dia, para resolver os problemas da melhor forma possivem e inteligente, e no livro eles usam o exemplo da lampada, e para a lampa ascender alguem precisou dizer isso a ela"" não precisamente escrito."""
37;quanto ao trabalho em grupo foi cooperativado na elaboração das perguntas  e resposta e calcular para verificar a quantidade  minima para  passamento de fase.
38;o nosso pesquisador estava sempre ali para nos ajudar e outros meios usados foram         os livros e vídeos.
39;R= nunca nem ví
40;Ficou tudo bem feito e do jeito que queríamos, e agradeço muito a minha equipe do Quarteto Fantástico por me ajudarem nesse projeto incrível de lógica.
41;Iniciei o desenvolvimento de uma história sozinha, mas não gostei muito dela então achei melhor não mostrar aos integrantes do grupo.
